sample_idx,clean_mse,adv_mse,rse,l2_norm,n_actual,pareto_size,query_count,first_success_query,wall_time_s
0,0.0007070180409449733,0.0011623423011428713,1.2821881942062707,0.0164362620562315,5,20,4102,82,11.938596699999998
1,0.001326736800422168,0.001949416784444935,1.2121600392734413,0.01704665832221508,4,20,4102,82,11.165265600000005
2,0.0008502756409178858,0.001436936460411431,1.2999867134082153,0.01920137368142605,8,20,4102,82,13.002052600000006
3,3.9164938048230624e-05,0.0002572040797446107,2.5626553645411687,0.017742054536938667,4,20,4102,83,11.830348300000011
4,0.003306586429093983,0.004755754403973356,1.1992777321120014,0.018257055431604385,6,20,4102,83,11.351268199999993
5,0.004791541322735071,0.00651872218697136,1.1663895430689681,0.019763009622693062,5,20,4102,86,11.255819399999993
6,0.005846606165405888,0.007820284349694617,1.1565365229280704,0.019539134576916695,7,20,4102,83,11.279869099999999
7,0.002691819107894844,0.0037920820024375246,1.1869049041413158,0.018686003983020782,7,20,4102,83,11.27223380000001
8,1.6190888857181562e-05,0.00016205296118698698,3.163684304082479,0.018195725977420807,4,20,4102,82,10.744758200000007
9,1.0516459703069359e-06,0.00010168411549571488,9.833129904097646,0.01784922368824482,6,20,4102,84,11.081743899999992
10,0.0011043363418004049,0.0017276939037316197,1.2507851553181606,0.016012487933039665,4,20,4102,83,11.00369760000001
11,0.0001678708936339035,0.0005288191434971168,1.774867279435443,0.017412934452295303,4,20,4102,82,10.971570600000007
12,8.352046862114548e-06,0.0001427601495294084,4.134348059233593,0.017029287293553352,3,20,4102,85,10.798190599999998
13,0.0003407685029657159,0.000718123749440025,1.4516767514998095,0.01704651676118374,4,20,4102,82,11.088434699999993
14,0.00022760523535581,0.00047335955727945134,1.4421301326295577,0.01640825718641281,7,20,4102,82,11.020347999999984
15,1.1337938815358939e-05,8.966821653544343e-05,2.8122389010833393,0.01599622517824173,4,20,4102,82,10.869774899999982
16,4.507601261138916e-05,0.00020484782004359658,2.1317826704545455,0.017490163445472717,5,20,4102,82,11.100577499999986
17,1.713531930036538e-05,0.00010264202173004833,2.447465046292963,0.01479828730225563,3,20,4102,82,10.93673609999999
18,3.016110142439743e-05,0.0001761662190347124,2.4167833382172588,0.019283298403024673,8,20,4102,82,11.12976359999999
19,0.0003312956936021294,0.0006857341346098167,1.4386991561084712,0.019669894129037857,5,20,4102,83,11.181991799999992
20,0.00047897834335586253,0.0008215219806970708,1.3096391678173316,0.016895543783903122,6,20,4102,86,11.246971899999977
21,0.0025762116195018336,0.0032318159006230474,1.1200374375697992,0.015682928264141083,5,20,4102,82,10.945407599999953
22,0.0004911155116502641,0.0008168135610162608,1.2896434123538874,0.01609642617404461,5,20,4102,87,10.995138499999996
23,8.306222918363915e-05,0.0002074648805070467,1.5804126745364768,0.012165163643658161,3,20,4102,85,11.391351299999997
24,0.000895362263705124,0.0014003794197527952,1.250614519798095,0.01786026731133461,4,20,4102,84,11.190787100000023
25,0.0016224051238147297,0.002203825161561923,1.165490972533595,0.018021615222096443,4,20,4102,84,11.29182830000002
26,0.007849048133667935,0.009057400979045838,1.0742201665124884,0.018137866631150246,4,20,4102,83,11.168966300000022
27,8.063997214335927e-05,0.0002176276758838469,1.642789345475544,0.014641941525042057,5,20,4102,92,11.430220399999996
28,0.0033331473873801087,0.00417412918933735,1.1190659566428456,0.012773995287716389,2,20,4102,85,10.990996499999994
29,0.00392084439258511,0.005029129357726703,1.1325479542289485,0.017567036673426628,6,20,4102,82,11.139808200000004
30,0.00018345832076249735,0.00039193880253662883,1.4616400137298564,0.015699584037065506,5,20,4102,84,11.185206100000016
31,0.0034344500087435392,0.0045254427942929,1.147894407632105,0.016628779470920563,6,20,4102,83,11.486401700000044
32,0.006117791825147378,0.007429864366770289,1.1020291834190385,0.0173201821744442,3,20,4102,84,11.006910399999981
33,0.0017491558267010987,0.0022743507047948697,1.1402877697841727,0.015186398290097713,4,20,4102,82,11.480670999999973
34,1.4988977582675034e-05,0.00012133543245695932,2.845167349200973,0.015171315521001816,5,20,4102,83,11.164574799999968
35,0.007268399271254111,0.008709536899061732,1.0946572143686115,0.016664497554302216,8,20,4102,82,11.243035500000019
36,0.001975597168425658,0.0026479841568951556,1.1577332161293588,0.015884675085544586,6,20,4102,82,11.325265299999955
37,0.008978638772675573,0.01050522192251524,1.081676428766654,0.016640998423099518,4,20,4102,86,11.289641700000004
38,0.002131005387341567,0.00273242034205623,1.1323520772230784,0.013301120139658451,3,20,4102,85,11.285411399999987
39,0.0008970038595776941,0.0013866776580471196,1.2433419970625579,0.013516774401068687,3,20,4102,82,11.370052299999998
40,0.0004357273428503561,0.0008117059667620552,1.364872119220237,0.01746039092540741,5,20,4102,84,11.173169400000006
41,0.001079954637134506,0.0015614979219868985,1.2024525523085405,0.01666252315044403,7,20,4102,83,11.234029700000008
42,0.0018131941772061566,0.002406537287530597,1.1520574579262908,0.015201573260128498,3,20,4102,83,11.43472550000007
43,0.0029498376595462616,0.003721558667169944,1.1232162473894631,0.016228903084993362,6,20,4102,82,11.567286800000034
44,0.003894553906125253,0.004780527405046975,1.1079216431631176,0.018057668581604958,8,20,4102,82,11.570847200000003
45,0.0014873105541832743,0.0021290000026432665,1.1964291924030697,0.0173201821744442,3,20,4102,82,11.295401599999991
46,0.0001653297836634593,0.0004428230099087216,1.6365886729478845,0.019468111917376518,5,20,4102,84,11.436413700000003
47,1.7214859227010493e-05,0.0001372788147477877,2.823904611406407,0.017215698957443237,4,20,4102,83,11.412577100000021
48,7.968525558599282e-05,0.0002327551617122836,1.7090732449946415,0.015186754055321217,4,20,4102,82,11.284280699999954
49,0.001075512811897994,0.001563352112733618,1.2056482173137844,0.017029253765940666,3,20,4102,82,11.306344099999933
50,5.132683932096427e-06,8.82711273044734e-05,4.14702903221563,0.017384901642799377,5,20,4102,82,11.401122399999963
51,2.073824703963112e-06,7.291589783164909e-05,5.929595827900912,0.016417937353253365,4,20,4102,83,11.209583600000087
52,0.0017742860206135802,0.0023989642635946495,1.1627867487294723,0.014771828427910805,7,20,4102,82,11.23525010000003
53,4.974295555459918e-05,0.00018102990143020747,1.9076968582958316,0.016749026253819466,3,20,4102,85,11.055861699999923
54,2.437625528628473e-05,0.00011407873913871214,2.163310516340106,0.01465543918311596,3,20,4102,82,11.369374099999959
55,6.385919313345312e-05,0.00023560005617184743,1.9207727306630864,0.01831463724374771,6,20,4102,86,11.04811739999991
56,0.0006018010010544472,0.0009955485666068853,1.2861889460544618,0.016499893739819527,5,20,4102,82,10.909822599999984
57,0.00010386606860013359,0.00027086788108565685,1.6148861446505385,0.013831567950546741,6,20,4102,82,11.033648900000003
58,9.481508059572263e-06,0.00011484779851489435,3.4803476543974603,0.016766618937253952,4,20,4102,82,10.904116299999941
59,1.413776304026726e-06,9.271269047506081e-05,8.098027420608066,0.01768481731414795,5,20,4102,82,11.069228700000053
60,0.0005065910734822765,0.0009075259245330258,1.3384456899827735,0.015132434666156769,3,20,4102,85,11.043758300000036
61,0.00016915608050371844,0.00040168424142450476,1.5409856350350246,0.014223246835172176,5,20,4102,83,10.968724500000008
62,0.001031910068648223,0.0016223138939039927,1.2538526980251066,0.01509979646652937,4,20,4102,86,10.938313600000015
63,0.00029779907778504366,0.0006732176611059515,1.5035437721485758,0.01607801578938961,4,20,4102,82,10.750422100000037
64,1.2562701900975526e-07,7.422005732227177e-05,24.3063146388632,0.012861358001828194,4,20,4102,82,10.534089400000084
65,0.0009467509512441907,0.0016926017759297807,1.3370865526269144,0.015548121184110641,5,20,4102,82,10.874719700000014
66,2.2423827638284877e-05,0.00017870211170034622,2.822994090362697,0.014889235608279705,4,20,4102,83,11.117509499999983
67,0.0006812945146927873,0.001154981498089569,1.3020272314674735,0.01702924631536007,3,20,4102,85,10.910553100000016
68,0.004170995139421763,0.005165026905761039,1.112798296673733,0.015747424215078354,4,20,4102,83,10.896651199999951
69,0.0021043582161297536,0.002882477041087128,1.170369764015249,0.01786026917397976,4,20,4102,85,11.058353599999919
70,0.0019144239447266287,0.0025022845716762276,1.1432712708894557,0.016737207770347595,5,20,4102,85,11.055097899999964
71,0.00022599576969017932,0.00043621022317452685,1.3893055316010776,0.017046933993697166,4,20,4102,83,11.049147000000062
72,6.460583908651785e-05,0.0002185034588899626,1.8390488796935889,0.015661703422665596,3,20,4102,89,10.943213499999956
73,0.0018469384468886574,0.0025912451101248735,1.1844808312691222,0.016705723479390144,5,20,4102,82,10.94832740000004
74,0.00010655177633012158,0.00035690504104479714,1.8301892239910844,0.01828615926206112,6,20,4102,82,11.099783100000082
75,0.0020992892185569545,0.003061488965699688,1.207619762494658,0.01774389110505581,5,20,4102,82,10.817254299999945
76,0.0007766770656623123,0.0013356356636364808,1.3113655272123756,0.015602722764015198,7,20,4102,82,10.821967800000039
77,0.0008532694398164509,0.0015017282472093996,1.3266384465250762,0.018652549013495445,4,20,4102,82,11.181009299999914
78,0.0005811342408679199,0.0008882405932775228,1.2363091282780363,0.017339246347546577,5,20,4102,82,11.007494199999996
79,1.913614057436064e-06,0.00013337070342012147,8.348396061787707,0.019748298451304436,4,20,4102,82,10.993588199999976
80,0.0013507237760288504,0.002065793431255125,1.2366880771067768,0.016273248940706253,4,20,4102,82,10.840332500000045
81,3.98167900872437e-06,0.00014624371516802626,6.060458516914346,0.01612706482410431,4,20,4102,82,10.704945100000032
82,0.0017345373258204067,0.002761383784971594,1.2617449064110615,0.017638305202126503,4,20,4102,86,10.710006600000042
83,0.00014755562890300666,0.0004681117363958265,1.7811351491925789,0.0157476719468832,4,20,4102,82,10.725082199999974
84,0.000661550607788719,0.001231515130385219,1.3643894090779,0.019493382424116135,4,20,4102,82,10.810250699999983
85,0.0009948058427022843,0.0016664988910841672,1.2942952306711077,0.015680860728025436,4,20,4102,84,10.8617031
86,0.0029628772008918336,0.004148707740718516,1.183312888339674,0.01845788210630417,6,20,4102,82,10.844547599999942
87,0.004037094484662163,0.00531354276901852,1.1472488562307632,0.014655755832791328,3,20,4102,83,10.737084799999934
88,0.001833672924703933,0.0024531160473098,1.156639741990802,0.01644827611744404,3,20,4102,83,10.881404399999951
89,5.544655505418383e-05,0.0004376068514924114,2.809343037647911,0.01593026891350746,4,20,4102,82,10.801378899999918
90,0.006723233043130827,0.008775754285368587,1.1424919397384479,0.01566183567047119,3,20,4102,83,10.802125200000091
91,0.0007497429846667902,0.0014706894305085427,1.400568260666316,0.014642314985394478,5,20,4102,83,10.93060289999994
92,0.00018909738224692774,0.0006918513758693567,1.912773939351908,0.018429016694426537,6,20,4102,86,10.873308299999962
93,0.00900479335017601,0.010895432564918872,1.0999814547310929,0.016436271369457245,5,20,4102,84,10.82917909999992
94,0.0025269806240848514,0.0036220136452271845,1.197220335787658,0.014992506243288517,3,20,4102,82,10.938020400000141
95,0.00027239397247158514,0.0009572308094354387,1.8746042078785543,0.016749033704400063,3,20,4102,87,10.767090899999857
96,0.0010681015400137994,0.0022738035459399786,1.4590500811584688,0.016909144818782806,5,20,4102,83,10.85561419999999
97,0.004828570253639919,0.007402082469237792,1.238134093031584,0.01625696010887623,4,20,4102,82,10.925882999999885
98,0.005555799031471631,0.0067929444643708425,1.1057469959171222,0.018468230962753296,4,20,4102,86,10.945258199999898
99,0.00012305047413807557,0.00037315977268748135,1.7414289667475342,0.014165366999804974,4,20,4102,83,10.978601099999878
100,0.0014463057235367671,0.0019467439182427881,1.1601772921260793,0.014142133295536041,2,20,4102,82,10.825049499999977
101,0.001113353243270332,0.001791170171831169,1.2683874459744429,0.015134730376303196,4,20,4102,83,11.019309000000021
102,0.0009922206954735557,0.0018804173970901061,1.376648258336022,0.014619795605540276,3,20,4102,83,10.858717200000001
103,0.002905989499792705,0.0045866215039860325,1.2563175627955472,0.014209219254553318,7,20,4102,82,10.935218500000019
104,0.000659613462474562,0.0015844827107338588,1.549883293406121,0.01465543918311596,3,20,4102,84,10.963229400000046
105,0.004196156480045454,0.006326760840026147,1.2279052926726202,0.01644793711602688,3,20,4102,85,10.994989200000191
106,0.0038828029235846717,0.006037401769998008,1.246959547762547,0.016955750063061714,5,20,4102,83,10.738047699999925
107,0.008288528561522845,0.00970021841516755,1.081812604976822,0.0156849455088377,6,20,4102,82,10.992114399999991
108,0.003485951520475261,0.0053324247398658375,1.2368063200645696,0.019493645057082176,4,20,4102,85,10.937032600000066
109,0.0015173964837061349,0.003030360648590913,1.4131804547072493,0.01647988148033619,3,20,4102,83,10.832190999999966
110,0.0007289615151001017,0.0016174194539822495,1.4895635307081025,0.014144066721200943,3,20,4102,82,10.789803099999972
111,0.0007517190785064631,0.0014782995761999373,1.4023403807806378,0.016175659373402596,4,20,4102,83,11.02902599999993
112,4.965912435062059e-05,0.00043704220036389074,2.966621626479401,0.015201576985418797,3,20,4102,82,10.662483199999997
113,0.00228098935404214,0.0034534252391949516,1.230448383895726,0.014818472787737846,4,20,4102,82,10.722061899999972
114,6.0312853412070044e-05,0.0004843419771854429,2.833812537595229,0.015814153477549553,4,20,4102,82,10.752311400000053
115,0.0037096198480526255,0.005410632886377664,1.2077007351415676,0.015526612289249897,3,20,4102,86,10.6807996
116,0.0008410008158685756,0.001827123060955893,1.4739599765281133,0.016418108716607094,4,20,4102,83,10.74938270000007
117,6.929562854218752e-05,0.00045457418223393553,2.5612352118802595,0.01732208952307701,4,20,4102,83,10.810242600000038
118,0.002408011205861982,0.0034885509150817118,1.2036307685206666,0.016748974099755287,3,20,4102,83,10.955300499999794
119,3.863074643195574e-05,0.0004010167375776419,3.2219196079653614,0.01432877779006958,3,20,4102,82,10.7682334000001
120,0.0007407407946544708,0.001956089837005459,1.625029565194539,0.016273049637675285,4,20,4102,83,10.607172999999875
121,4.3340862190044405e-05,0.0003712273475322547,2.926652829428501,0.013519416563212872,4,20,4102,82,10.81467120000002
122,0.002723583619884673,0.004160575389429377,1.2359654795811295,0.014456699602305889,3,20,4102,82,10.871168900000157
123,0.0011037867506511478,0.002135932073248137,1.391076872429165,0.015259732492268085,6,20,4102,83,10.94414329999995
124,0.0013351706302009436,0.0021563765384515765,1.2708488893655667,0.015322165563702583,3,20,4102,82,10.88395800000012
125,5.184347173781134e-09,6.535923397255061e-05,112.28104304635761,0.01735418103635311,5,20,4102,82,10.624123800000007
126,0.0010292809458514185,0.0017933869620920806,1.3199881654276284,0.017473243176937103,4,20,4102,89,10.971880100000135
127,0.00044473408458145514,0.0009293554678926341,1.4455753087815493,0.016065601259469986,6,20,4102,82,11.722668200000044
128,0.006434968518650663,0.008883403971854165,1.1749421736180925,0.015322395600378513,3,20,4102,86,25.23694599999999
129,0.0014367150448038046,0.00227581201253102,1.25858593165221,0.017079399898648262,5,20,4102,83,24.884224299999914
130,3.442383880170041e-05,0.0001538576082973364,2.1141209935490424,0.014992539770901203,3,20,4102,82,24.58502180000005
131,0.00048318667372004853,0.0008464701230117555,1.3235743522371224,0.016049662604928017,6,20,4102,82,24.41228799999999
132,0.0006246159070935065,0.0009986540811190991,1.2644481357686532,0.01883668825030327,5,20,4102,82,25.104487600000084
133,0.00010965154162079216,0.000301894502413802,1.6592821119978143,0.018597828224301338,5,20,4102,82,24.759756800000105
134,0.002235619500211783,0.002853442451570487,1.1297584921073134,0.018037917092442513,5,20,4102,82,23.140834599999835
135,0.001339033842207904,0.0020030617657909033,1.223070225947611,0.01593426987528801,6,20,4102,83,24.649542699999984
136,0.004081167992410428,0.005541930719453525,1.1653015126012787,0.0173201821744442,3,20,4102,82,25.04069719999984
137,0.0021801998087198626,0.003346309102782108,1.238896080023284,0.01367163099348545,3,20,4102,82,24.102758900000026
138,0.0006769111831141927,0.0011413587955724225,1.2985098562089707,0.012945452705025673,5,20,4102,84,24.7795165
139,0.0015164290170455175,0.002474318281574739,1.277370078559375,0.013902776874601841,4,20,4102,85,21.91825719999997
140,3.200320656482347e-06,0.00017992168352876092,7.497992570010162,0.014798564836382866,3,20,4102,83,23.828616900000043
141,0.0006082048333135859,0.0011303665143111985,1.3632788850447062,0.019506895914673805,4,20,4102,84,23.892525500000147
142,5.62427403885124e-05,0.0002160828587740582,1.9600941019384681,0.01552675012499094,3,20,4102,82,21.64320880000014
143,0.002791227304843602,0.0035428901202019247,1.126629812438302,0.01523849181830883,4,20,4102,82,11.197117700000035
144,0.0005340281274266445,0.000990835570498838,1.3621305346454977,0.0164480097591877,3,20,4102,82,11.089218200000005
145,0.00027187922974380996,0.0006790544832711021,1.5803900800873352,0.016403978690505028,5,20,4102,85,11.910108799999989
146,0.0006566416636113459,0.0011192619060693687,1.3055744545743186,0.016061555594205856,4,20,4102,82,24.414079899999933
147,0.0014103182729208186,0.0022009831731715224,1.249251255842744,0.017320172861218452,3,20,4102,84,24.91977780000002
148,0.0006368126079800973,0.0011765696985008844,1.3592614593900687,0.01593019999563694,4,20,4102,82,24.71907699999997
149,0.00027543576920052715,0.0007064777014287316,1.6015446830364999,0.0173201821744442,3,20,4102,82,24.224234499999966
150,0.0003132051346179665,0.000831971115361263,1.629820168296474,0.019249025732278824,4,20,4102,82,24.409068499999876
151,0.002438805741996397,0.003431512955494931,1.1861898867935459,0.017033105716109276,5,20,4102,83,23.35719160000008
152,6.15292876284812e-05,0.00020392921920020513,1.820533960479174,0.018824415281414986,6,20,4102,82,25.68913960000009
153,0.00010436721784490288,0.00030469719808934315,1.708646325916807,0.016486024484038353,6,20,4102,82,24.173700600000075
154,1.7532073934845016e-06,7.461803868213934e-05,6.523869544666772,0.01793362945318222,4,20,4102,83,18.019221600000037
155,1.8984316341175145e-09,4.1779501632532856e-05,148.34883720930233,0.014225308783352375,6,20,4102,82,13.116070300000047
156,0.0006141358048274981,0.0010335362902402778,1.2972708402983388,0.01718871295452118,6,20,4102,84,25.03544349999993
157,4.149258678864953e-07,7.505477520908244e-05,13.44943092440085,0.017322080209851265,4,20,4102,82,24.038254499999766
158,0.00011514885409269482,0.00033924629570325493,1.7164365223960185,0.015915708616375923,5,20,4102,83,24.935608400000092
159,0.001624806832868586,0.0023036173941202165,1.1907053533272904,0.016369832679629326,4,20,4102,83,25.143964000000324
160,0.0002773184822082442,0.00064481853745324,1.5248578147314318,0.01881050132215023,6,20,4102,82,24.992755100000068
161,0.0013857766610705369,0.0019786185119210487,1.1949078455013138,0.015680551528930664,4,20,4102,82,25.215452999999798
